ok  	github.com/joeycumines/one-shot-man/cmd/osm	0.598s
goos: darwin
goarch: arm64
pkg: github.com/joeycumines/one-shot-man/internal
cpu: Apple M2 Pro
BenchmarkSessionOperations/SessionIDGeneration-10         	 2425716	       487.2 ns/op	     176 B/op	       5 allocs/op
BenchmarkSessionOperations/SessionIDGeneration-10         	 2491665	       523.6 ns/op	     176 B/op	       5 allocs/op
BenchmarkSessionOperations/SessionIDGeneration-10         	 2490320	       482.7 ns/op	     176 B/op	       5 allocs/op
BenchmarkSessionOperations/SessionIDGeneration-10         	 2473087	       493.6 ns/op	     176 B/op	       5 allocs/op
BenchmarkSessionOperations/SessionIDGeneration-10         	 2478502	       483.4 ns/op	     176 B/op	       5 allocs/op
BenchmarkSessionOperations/SessionCreation-10             	76222939	        15.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkSessionOperations/SessionCreation-10             	76313221	        15.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkSessionOperations/SessionCreation-10             	76610618	        17.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkSessionOperations/SessionCreation-10             	77007819	        15.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSessionOperations/SessionCreation-10             	76734927	        15.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSessionOperations/SessionPersistenceWrite-10     	  553664	      2167 ns/op	    1033 B/op	      18 allocs/op
BenchmarkSessionOperations/SessionPersistenceWrite-10     	  549954	      2180 ns/op	    1033 B/op	      18 allocs/op
BenchmarkSessionOperations/SessionPersistenceWrite-10     	  534103	      2165 ns/op	    1033 B/op	      18 allocs/op
BenchmarkSessionOperations/SessionPersistenceWrite-10     	  564852	      2170 ns/op	    1033 B/op	      18 allocs/op
BenchmarkSessionOperations/SessionPersistenceWrite-10     	  541719	      2173 ns/op	    1033 B/op	      18 allocs/op
BenchmarkSessionOperations/SessionPersistenceRead-10      	  578775	      2088 ns/op	     808 B/op	      15 allocs/op
BenchmarkSessionOperations/SessionPersistenceRead-10      	  585092	      2089 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/SessionPersistenceRead-10      	  590073	      2091 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/SessionPersistenceRead-10      	  587760	      2079 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/SessionPersistenceRead-10      	  569718	      2077 ns/op	     808 B/op	      15 allocs/op
BenchmarkSessionOperations/ConcurrentSessionAccess-10     	 1804125	       661.4 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/ConcurrentSessionAccess-10     	 1778100	       663.7 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/ConcurrentSessionAccess-10     	 1775270	       645.5 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/ConcurrentSessionAccess-10     	 1873509	       619.3 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/ConcurrentSessionAccess-10     	 1864296	       619.4 ns/op	     809 B/op	      15 allocs/op
BenchmarkSessionOperations/SessionJSONMarshaling-10       	   27349	     43419 ns/op	   19254 B/op	     103 allocs/op
BenchmarkSessionOperations/SessionJSONMarshaling-10       	   27784	     43520 ns/op	   19253 B/op	     103 allocs/op
BenchmarkSessionOperations/SessionJSONMarshaling-10       	   27729	     43430 ns/op	   19252 B/op	     103 allocs/op
BenchmarkSessionOperations/SessionJSONMarshaling-10       	   27513	     43412 ns/op	   19252 B/op	     103 allocs/op
BenchmarkSessionOperations/SessionJSONMarshaling-10       	   27852	     43525 ns/op	   19252 B/op	     103 allocs/op
BenchmarkSessionOperations/SessionJSONUnmarshaling-10     	   10000	    108334 ns/op	   37384 B/op	     420 allocs/op
BenchmarkSessionOperations/SessionJSONUnmarshaling-10     	   10000	    108788 ns/op	   37384 B/op	     420 allocs/op
BenchmarkSessionOperations/SessionJSONUnmarshaling-10     	   10000	    108464 ns/op	   37384 B/op	     420 allocs/op
BenchmarkSessionOperations/SessionJSONUnmarshaling-10     	   10000	    109197 ns/op	   37384 B/op	     420 allocs/op
BenchmarkSessionOperations/SessionJSONUnmarshaling-10     	   10000	    108551 ns/op	   37384 B/op	     420 allocs/op
BenchmarkFileSystemIO/FullCycle-10                        	     214	   5880968 ns/op	   15862 B/op	     104 allocs/op
BenchmarkFileSystemIO/FullCycle-10                        	     219	   5671731 ns/op	   15841 B/op	     104 allocs/op
BenchmarkFileSystemIO/FullCycle-10                        	     208	   5848764 ns/op	   15844 B/op	     104 allocs/op
BenchmarkFileSystemIO/FullCycle-10                        	     214	   5670103 ns/op	   15844 B/op	     104 allocs/op
BenchmarkFileSystemIO/FullCycle-10                        	     222	   5867812 ns/op	   15860 B/op	     104 allocs/op
BenchmarkFileSystemIO/WriteOnly-10                        	     224	   5445562 ns/op	    8219 B/op	      40 allocs/op
BenchmarkFileSystemIO/WriteOnly-10                        	     206	   5231358 ns/op	    8202 B/op	      40 allocs/op
BenchmarkFileSystemIO/WriteOnly-10                        	     199	   5257007 ns/op	    8225 B/op	      40 allocs/op
BenchmarkFileSystemIO/WriteOnly-10                        	     226	   5365094 ns/op	    8218 B/op	      40 allocs/op
BenchmarkFileSystemIO/WriteOnly-10                        	     208	   5633838 ns/op	    8222 B/op	      40 allocs/op
BenchmarkFileSystemIO/ReadOnly-10                         	    9910	    113334 ns/op	    8536 B/op	      75 allocs/op
BenchmarkFileSystemIO/ReadOnly-10                         	   10000	    108782 ns/op	    8536 B/op	      75 allocs/op
BenchmarkFileSystemIO/ReadOnly-10                         	    9526	    125489 ns/op	    8536 B/op	      75 allocs/op
BenchmarkFileSystemIO/ReadOnly-10                         	   10000	    108154 ns/op	    8536 B/op	      75 allocs/op
BenchmarkFileSystemIO/ReadOnly-10                         	   10000	    107702 ns/op	    8536 B/op	      75 allocs/op
BenchmarkFileSystemIO/AtomicWriteFile-10                  	     240	   5353266 ns/op	    1544 B/op	      13 allocs/op
BenchmarkFileSystemIO/AtomicWriteFile-10                  	     206	   5494919 ns/op	    1544 B/op	      13 allocs/op
BenchmarkFileSystemIO/AtomicWriteFile-10                  	     224	   5864805 ns/op	    1544 B/op	      13 allocs/op
BenchmarkFileSystemIO/AtomicWriteFile-10                  	     202	   5969923 ns/op	    1544 B/op	      13 allocs/op
BenchmarkFileSystemIO/AtomicWriteFile-10                  	     226	   6107893 ns/op	    1544 B/op	      13 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    8142	    131799 ns/op	   48497 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    9135	    126221 ns/op	   48486 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    9286	    128687 ns/op	   48537 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    8342	    130215 ns/op	   48461 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/MarshalIndent-10         	    8791	    132381 ns/op	   48461 B/op	     104 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   25298	     49223 ns/op	   19251 B/op	     103 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   22611	     48706 ns/op	   19253 B/op	     103 allocs/op
BenchmarkFileSystemIO/MarshalIndentVsMarshal/Marshal-10               	   26775	     43478 ns/op	   19253 B/op	     103 allocs/op
